Name;Sobre
;
inicio;inicio do site
mapa;mapa dentro do twine
projeto;sobre o projeto
curso;lista de cursos
intagro;Integrado em Agropecuária
inttmsi;Integrado em Manutenção e Suporte em Informática
intproeja;Integrado em Comércio na modalidade Proeja
subagro;Subsequente em Agropecuária
agrono;Bacharelado em Agronomia
zoo;Bacharelado em Zootecnia
licieagr;Licenciatura em Ciências Agrícolas
liciebio;Licenciatura em Ciências Biológicas
tecali;Tecnologia em Alimentos
tecagro;Tecnologia em Agronegócio
ads;ADS
tecamb;Tecnologia em Gestão Ambiental
forped;Formação Pedagógica para Graduados não Licenciados
posteoedu;Curso de Pós-graduação Lato Sensu em Teorias e Metodologias da Educação
posdes;Curso de Pós-graduação Lato Sensu em Desenvolvimento e Inovação
prediocentral/secretaria;Prédio central e Secretária
ambulatorio;Ambulatório
refeitorio;Refeitório
coopera;coopera
olericultura;olericultura
equoterapia;equoterapia
bovinocultura;bovinocultura
marcenaria/lavanderia;Marcenaria e Lavanderia
mecanica;Mecânica e espaço para armazenagem das máquinas
culturasanuais;Culturas Anuais
fruticultura/silvicultura;Fruticultura e Silvicultura
irrigacao;Irrigação
blocosalas(a/b);Bloco de Salas A e B
agroindustria;Agroindústria
suinocultura;suinocultura
ovinocultura;ovinocultura
ctg;CTG do Campus
centrocultura/artes/memorial;Centro de cultura e artes, junto com memorial
labdefesavegetal;Laboratório de Defesa Vegetal
avicultura;avicultura
alojamentos;alojamentos
blocoa1;Bloco A1
blocoa2;Bloco A2
administracao/biblioteca;Administração e biblioteca
esporte/auditorio/academia;Academia, Esportes e Ginásio
fabricaracoes/silos;Fábrica de rações e silos
menu;Lista dos setores e prédios
geral;lista de setores gerais
tecnologia;Lista de setores da tecnologia
cieagra;Lista de setores das Ciencias Agrícolas
ciebio;Lista de setores das Ciencias Biológicas
